n  |dist(asec)|prob. |     link ref      |     link      |        identifier       |typ| coord1                    |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |bib |not
41 |  55726.32|   100|2005ApJ...634.1385M|S              |V* V1249 Cen             |TT*|183.8779996 -39.8118414    |     ~|13.09 |11.160|10.919| 9.50 |M0.5           |  63|   0
42 | 100373.73|    16|2015ApJ...798...73G|B              |2MASS J13191194-3600082  |*  |199.799779 -36.002281      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
43 |  48271.51|    86|2015ApJ...798...73G|B              |2MASS J12072486-3608359  |*  |181.853621 -36.143311      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
44 |  44405.65|    10|2015ApJ...798...73G|B              |2MASS J11571557-4022292  |*  |179.314879 -40.374789      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
45 |  55726.32|    75|2013ApJ...762...88M|S              |V* V1249 Cen             |TT*|183.8779996 -39.8118414    |     ~|13.09 |11.160|10.919| 9.50 |M0.5           |  63|   0
46 |  29288.29|    31|2015ApJ...798...73G|B              |2MASS J11204706-2738056  |*  |170.196088 -27.634889      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
47 |  11942.81|   100|2005ApJ...634.1385M|B              |Hen 3-600                |TT*|167.616225 -37.531103      |     ~|13.53 |12.05 |11.61 | 9.29 |M4Ve+M4Ve      | 174|   0
48 |  84677.24|    75|2015ApJS..219...33G|S              |2MASS J12574463-3635431  |LM*|194.435987 -36.595311      |     ~|     ~|     ~|     ~|     ~|M6::           |   3|   0
49 |  46726.76|    99|2015ApJ...798...73G|B              |TWA 38                   |PM*|180.996079 -38.361192      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
50 |  20509.80|    40|2015ApJ...798...73G|B              |2MASS J11062620-4019330  |*  |166.609167 -40.325847      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
51 |  62336.49|     0|2005ApJ...634.1385M|B              |HD 102458                |Y*O|176.8522658 -49.8841717    |     ~| 9.70 | 9.07 |     ~| 8.40 |G4V            |  63|   0
52 |  84553.56|    47|2015ApJ...798...73G|B              |2MASS J12522053-4515542  |*  |193.085563 -45.265067      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
53 | 123427.59|    75|2015ApJS..219...33G|S              |2MASS J12271545-0636458  |LM*|186.814396 -06.612747      |     ~|     ~|     ~|     ~|     ~|M9             |   6|   0
54 |  39032.76|   100|2005ApJ...634.1385M|B              |HD 98800                 |RS*|170.52204061 -24.77771031  |     ~|10.27 | 8.912| 9.257| 7.386|K5V(e)         | 249|   0
55 |  99118.44|    11|2015ApJ...798...73G|B              |2MASS J13155594-3403418  |PM*|198.983096 -34.061631      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
56 |  22224.80|   100|2005ApJ...634.1385M|B              |CD-33 7795B              |BD*|172.9808 -34.6081          |     ~|     ~|20.40 |     ~|15.8  |~              | 113|   0
57 |  49841.52|    99|2015ApJ...798...73G|B              |2MASS J12074836-3900043  |BD*|181.951508 -39.001222      |     ~|     ~|     ~|     ~|     ~|L1             |  11|   0
58 |  20098.60|    84|2015ApJ...798...73G|B              |2MASS J11152992-2954436  |*  |168.874700 -29.912114      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
59 |  71266.51|    24|2015ApJ...798...73G|B              |2MASS J11131034-1504005  |*  |168.293108 -15.066814      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
60 |  39412.23|   100|2015MNRAS.453.2220M|B              |UCAC3 133-139341         |PM*|164.710583 -23.772378      |     ~|17.20 |15.58 |15.53 |     ~|M5.1           |   3|   0
61 |  62317.00|     0|2005ApJ...634.1385M|B              |TWA 19B                  |Em*|176.836000 -49.884522      |     ~|13.82 |12.30 |11.200|10.21 |K7e            |  24|   0
62 |  33518.01|    13|2015ApJ...798...73G|B              |2MASS J11153797-2552192  |PM*|168.908233 -25.872022      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
63 |  36403.95|    62|2015ApJ...798...73G|B              |2MASS J11510246-3611457  |PM*|177.760292 -36.196042      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
64 |  17718.00|   100|2010A&A...520A..15M|B              |CD-29 8887               |TT*|167.307488 -30.027744      |     ~|12.95 |11.119|10.642| 8.875|M2Ve           |  85|   0
65 |  15764.09|    12|2015ApJ...798...73G|B              |2MASS J10563080-3028137  |*  |164.128342 -30.470497      |     ~|     ~|     ~|     ~|     ~|~              |   2|   0
